עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
13,מאיה גרוסמן,24,רווקה,רעננה,נ,12,3,1
13,אורי כהן,33,רווק+1,ראש העין,ז,40,12,6
13,ליאל נועם קוצרי,28,רווק,תל אביב,ז,59,16,8
13,דנה משה,21,רווקה,בית שאן,נ,20,10,8
13,עדן שבירו,23,רווקה,חולון,נ,44,14,8
13,שיר צרפתי,24,רווקה,קריית גת,נ,30,12,8
13,ריקי רוטר,25,בזוגיות,בת ים,נ,16,10,8
13,יאיר שלמה כמכאג'י,30,רווק,הרצליה,ז,23,11,8
13,אורי נגר,31,גרוש+2,מיתר,ז,39,14,8
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
14,חיים טויטו,29,רווק,נתניה,ז,88,13,1
14,עידן גלפר,29,רווק,אשדוד,ז,77,12,1
14,קורלי יסמין לרוסה,31,רווקה,תל אביב,נ,58,9,1
14,פרידה זיו עוזיאל,25,רווקה,תל אביב,נ,112,16,1
14,ברק מדר,24,בזוגיות,נתיבות,ז,32,6,1
14,נועם מדר,24,רווק,נתיבות,ז,112,16,1
14,הדר שירי,24,רווקה,רמת גן,נ,112,16,1
14,דני צ'ירבוננקו,29,רווק,חיפה,ז,109,16,1
14,בן אדם,35,רווק,תל אביב,ז,49,8,1
14,אור בן דוד,29,גרוש בזוגיות+1,ראשון לציון,ז,112,16,1
14,אמילי קופר,21,רווקה,אשדוד,נ,91,14,1
14,דנה בן שושן,41,נשואה+4,אילון,נ,25,4,1
14,תום ברכה,41,רווק,תל אביב,ז,21,4,1
14,דינור אבשייב,26,רווקה,נתניה,נ,8,2,1
14,לירון טנג'י,31,גרושה בזוגיות+1,אשקלון,נ,16,3,1
14,אורית ג'ודי טנג'י,61,נשואה+3,אשקלון,נ,28,5,1
